time,node,remaining_energy_j
0.2,0,20.0000
0.2,1,20.0000
0.2,2,20.0000
0.2,3,20.0000
0.2,4,20.0000
0.2,5,20.0000
0.2,6,20.0000
0.2,7,20.0000
0.2,8,20.0000
0.2,9,20.0000
0.2,10,20.0000
0.2,11,20.0000
0.2,12,20.0000
0.2,13,20.0000
0.2,14,20.0000
0.2,15,20.0000
0.2,16,20.0000
0.2,17,20.0000
0.2,18,20.0000
0.2,19,20.0000
0.2,20,20.0000
0.2,21,20.0000
0.2,22,20.0000
0.2,23,20.0000
0.2,24,20.0000
0.2,25,20.0000
0.2,26,20.0000
0.2,27,20.0000
0.2,28,20.0000
0.2,29,20.0000
0.2,30,20.0000
0.2,31,20.0000
0.2,32,20.0000
0.2,33,20.0000
0.2,34,20.0000
0.2,35,20.0000
0.2,36,20.0000
0.2,37,20.0000
0.2,38,20.0000
0.2,39,20.0000
0.2,40,20.0000
0.2,41,20.0000
0.2,42,20.0000
0.2,43,20.0000
0.2,44,20.0000
0.2,45,20.0000
0.2,46,20.0000
0.2,47,20.0000
0.2,48,20.0000
0.2,49,20.0000
0.2,50,20.0000
0.2,51,20.0000
0.2,52,20.0000
0.2,53,20.0000
0.2,54,20.0000
0.2,55,20.0000
0.2,56,20.0000
0.2,57,20.0000
0.2,58,20.0000
0.2,59,20.0000
0.2,60,20.0000
0.2,61,20.0000
0.2,62,20.0000
0.2,63,20.0000
0.2,64,20.0000
0.2,65,20.0000
0.2,66,20.0000
0.2,67,20.0000
0.2,68,20.0000
0.2,69,20.0000
0.2,70,20.0000
0.2,71,20.0000
0.2,72,20.0000
0.2,73,20.0000
0.2,74,20.0000
0.2,75,20.0000
0.2,76,20.0000
0.2,77,20.0000
0.2,78,20.0000
0.2,79,20.0000
0.2,80,20.0000
0.2,81,20.0000
0.2,82,20.0000
0.2,83,20.0000
0.2,84,20.0000
0.2,85,20.0000
0.2,86,20.0000
0.2,87,20.0000
0.2,88,20.0000
0.2,89,20.0000
0.2,90,20.0000
0.2,91,20.0000
0.2,92,20.0000
0.2,93,20.0000
0.2,94,20.0000
0.2,95,20.0000
0.2,96,20.0000
0.2,97,20.0000
0.2,98,20.0000
0.2,99,20.0000
1.2,0,19.9471
1.2,1,19.9395
1.2,2,19.9458
1.2,3,19.9322
1.2,4,19.9331
1.2,5,19.9424
1.2,6,19.9398
1.2,7,19.9341
1.2,8,19.9337
1.2,9,19.9365
1.2,10,19.9392
1.2,11,19.9381
1.2,12,19.9352
1.2,13,19.9423
1.2,14,19.9465
1.2,15,19.9439
1.2,16,19.9390
1.2,17,19.9451
1.2,18,19.9418
1.2,19,19.9325
1.2,20,19.9485
1.2,21,19.9371
1.2,22,19.9321
1.2,23,19.9314
1.2,24,19.9377
1.2,25,19.9422
1.2,26,19.9454
1.2,27,19.9304
1.2,28,19.9331
1.2,29,19.9315
1.2,30,19.9315
1.2,31,19.9430
1.2,32,19.9312
1.2,33,19.9418
1.2,34,19.9316
1.2,35,19.9419
1.2,36,19.9346
1.2,37,19.9326
1.2,38,19.9481
1.2,39,19.9459
1.2,40,19.9376
1.2,41,19.9365
1.2,42,19.9476
1.2,43,19.9482
1.2,44,19.9324
1.2,45,19.9470
1.2,46,19.9458
1.2,47,19.9360
1.2,48,19.9415
1.2,49,19.9312
1.2,50,19.9366
1.2,51,19.9353
1.2,52,19.9429
1.2,53,19.9398
1.2,54,19.9447
1.2,55,19.9351
1.2,56,19.9391
1.2,57,19.9307
1.2,58,19.9435
1.2,59,19.9378
1.2,60,19.9346
1.2,61,19.9400
1.2,62,19.9426
1.2,63,19.9395
1.2,64,19.9337
1.2,65,19.9368
1.2,66,19.9331
1.2,67,19.9391
1.2,68,19.9326
1.2,69,19.9445
1.2,70,19.9332
1.2,71,19.9400
1.2,72,19.9336
1.2,73,19.9397
1.2,74,19.9336
1.2,75,19.9423
1.2,76,19.9336
1.2,77,19.9492
1.2,78,19.9424
1.2,79,19.9495
1.2,80,19.9478
1.2,81,19.9331
1.2,82,19.9384
1.2,83,19.9469
1.2,84,19.9352
1.2,85,19.9327
1.2,86,19.9479
1.2,87,19.9373
1.2,88,19.9329
1.2,89,19.9438
1.2,90,19.9345
1.2,91,19.9332
1.2,92,19.9437
1.2,93,19.9360
1.2,94,19.9478
1.2,95,19.9445
1.2,96,19.9306
1.2,97,19.9378
1.2,98,19.9498
1.2,99,19.9479
2.2,0,19.8625
2.2,1,19.8919
2.2,2,19.8916
2.2,3,19.8708
2.2,4,19.8809
2.2,5,19.8980
2.2,6,19.8795
2.2,7,19.8845
2.2,8,19.8946
2.2,9,19.8978
2.2,10,19.8716
2.2,11,19.8823
2.2,12,19.8745
2.2,13,19.8806
2.2,14,19.8633
2.2,15,19.8856
2.2,16,19.8659
2.2,17,19.8629
2.2,18,19.8617
2.2,19,19.8745
2.2,20,19.8677
2.2,21,19.8954
2.2,22,19.8870
2.2,23,19.8704
2.2,24,19.8694
2.2,25,19.8899
2.2,26,19.8908
2.2,27,19.8760
2.2,28,19.8889
2.2,29,19.8958
2.2,30,19.8749
2.2,31,19.8795
2.2,32,19.8631
2.2,33,19.8696
2.2,34,19.8751
2.2,35,19.8954
2.2,36,19.8762
2.2,37,19.8627
2.2,38,19.8898
2.2,39,19.8989
2.2,40,19.8745
2.2,41,19.8802
2.2,42,19.8797
2.2,43,19.8958
2.2,44,19.8742
2.2,45,19.8714
2.2,46,19.8892
2.2,47,19.8667
2.2,48,19.8631
2.2,49,19.8631
2.2,50,19.8889
2.2,51,19.8694
2.2,52,19.8811
2.2,53,19.8749
2.2,54,19.8716
2.2,55,19.8910
2.2,56,19.8761
2.2,57,19.8761
2.2,58,19.8629
2.2,59,19.8928
2.2,60,19.8927
2.2,61,19.8735
2.2,62,19.8601
2.2,63,19.8613
2.2,64,19.8661
2.2,65,19.8805
2.2,66,19.8737
2.2,67,19.8778
2.2,68,19.8778
2.2,69,19.8889
2.2,70,19.8778
2.2,71,19.8744
2.2,72,19.8746
2.2,73,19.8828
2.2,74,19.8799
2.2,75,19.8758
2.2,76,19.8847
2.2,77,19.8908
2.2,78,19.8789
2.2,79,19.8954
2.2,80,19.8618
2.2,81,19.8882
2.2,82,19.8783
2.2,83,19.8933
2.2,84,19.8927
2.2,85,19.8620
2.2,86,19.8621
2.2,87,19.8919
2.2,88,19.8977
2.2,89,19.8705
2.2,90,19.8644
2.2,91,19.8756
2.2,92,19.8794
2.2,93,19.8988
2.2,94,19.8914
2.2,95,19.8985
2.2,96,19.8684
2.2,97,19.8930
2.2,98,19.8733
2.2,99,19.8646
3.2,0,19.8042
3.2,1,19.8364
3.2,2,19.7963
3.2,3,19.8290
3.2,4,19.8315
3.2,5,19.8223
3.2,6,19.8044
3.2,7,19.8311
3.2,8,19.8248
3.2,9,19.7949
3.2,10,19.8153
3.2,11,19.8440
3.2,12,19.7937
3.2,13,19.8210
3.2,14,19.8150
3.2,15,19.8471
3.2,16,19.8486
3.2,17,19.7932
3.2,18,19.8244
3.2,19,19.8468
3.2,20,19.7921
3.2,21,19.8143
3.2,22,19.8274
3.2,23,19.8127
3.2,24,19.8240
3.2,25,19.8042
3.2,26,19.8044
3.2,27,19.8380
3.2,28,19.8344
3.2,29,19.7905
3.2,30,19.8074
3.2,31,19.8238
3.2,32,19.8305
3.2,33,19.7994
3.2,34,19.8360
3.2,35,19.8404
3.2,36,19.8458
3.2,37,19.8122
3.2,38,19.8107
3.2,39,19.8054
3.2,40,19.8216
3.2,41,19.8391
3.2,42,19.8126
3.2,43,19.8297
3.2,44,19.7902
3.2,45,19.7956
3.2,46,19.8380
3.2,47,19.7948
3.2,48,19.8084
3.2,49,19.7912
3.2,50,19.8011
3.2,51,19.8441
3.2,52,19.8399
3.2,53,19.8082
3.2,54,19.7967
3.2,55,19.8264
3.2,56,19.7988
3.2,57,19.8124
3.2,58,19.8243
3.2,59,19.8383
3.2,60,19.8391
3.2,61,19.8331
3.2,62,19.7951
3.2,63,19.8034
3.2,64,19.8028
3.2,65,19.8015
3.2,66,19.8043
3.2,67,19.7911
3.2,68,19.8135
3.2,69,19.8075
3.2,70,19.8393
3.2,71,19.8367
3.2,72,19.8148
3.2,73,19.8285
3.2,74,19.8208
3.2,75,19.8152
3.2,76,19.8497
3.2,77,19.8340
3.2,78,19.8307
3.2,79,19.7951
3.2,80,19.7922
3.2,81,19.8091
3.2,82,19.8190
3.2,83,19.8018
3.2,84,19.8059
3.2,85,19.8048
3.2,86,19.8273
3.2,87,19.8298
3.2,88,19.8347
3.2,89,19.8118
3.2,90,19.8115
3.2,91,19.8421
3.2,92,19.8306
3.2,93,19.8287
3.2,94,19.7993
3.2,95,19.8351
3.2,96,19.8330
3.2,97,19.8443
3.2,98,19.8425
3.2,99,19.8199
4.2,0,19.7264
4.2,1,19.7387
4.2,2,19.7441
4.2,3,19.7931
4.2,4,19.7916
4.2,5,19.7664
4.2,6,19.7486
4.2,7,19.7799
4.2,8,19.7758
4.2,9,19.7618
4.2,10,19.7349
4.2,11,19.7999
4.2,12,19.7559
4.2,13,19.7277
4.2,14,19.7699
4.2,15,19.7600
4.2,16,19.7710
4.2,17,19.7744
4.2,18,19.7631
4.2,19,19.7320
4.2,20,19.7475
4.2,21,19.7325
4.2,22,19.7340
4.2,23,19.7468
4.2,24,19.7286
4.2,25,19.7461
4.2,26,19.7647
4.2,27,19.7605
4.2,28,19.7446
4.2,29,19.7374
4.2,30,19.7787
4.2,31,19.7601
4.2,32,19.7960
4.2,33,19.7935
4.2,34,19.7886
4.2,35,19.7788
4.2,36,19.7795
4.2,37,19.7966
4.2,38,19.7219
4.2,39,19.7772
4.2,40,19.7334
4.2,41,19.7541
4.2,42,19.7934
4.2,43,19.7219
4.2,44,19.7337
4.2,45,19.7473
4.2,46,19.7282
4.2,47,19.7941
4.2,48,19.7567
4.2,49,19.7496
4.2,50,19.7961
4.2,51,19.7588
4.2,52,19.7280
4.2,53,19.7462
4.2,54,19.7558
4.2,55,19.7943
4.2,56,19.7397
4.2,57,19.7513
4.2,58,19.7230
4.2,59,19.7853
4.2,60,19.7300
4.2,61,19.7597
4.2,62,19.7860
4.2,63,19.7592
4.2,64,19.7345
4.2,65,19.7337
4.2,66,19.7553
4.2,67,19.7844
4.2,68,19.7292
4.2,69,19.7500
4.2,70,19.7935
4.2,71,19.7256
4.2,72,19.7905
