i,j,distance
0,1,89.4977
0,2,97.4267
0,3,29.9248
0,4,123.795
0,5,173.194
0,6,167.793
0,7,115.568
0,8,193.204
0,9,86.5128
0,10,189.189
0,11,112.805
0,12,123.143
0,13,40.1818
0,14,123.15
0,15,96.0497
0,16,106.891
0,17,96.7788
0,18,37.8008
0,19,93.5548
0,20,178.855
0,21,76.009
0,22,159.699
0,23,139.951
0,24,191.776
0,25,71.302
0,26,99.4171
0,27,134.361
0,28,170.616
0,29,55.5154
0,30,124.958
0,31,61.0807
0,32,78.0299
0,33,178.352
0,34,200.604
0,35,109.469
0,36,64.9249
0,37,127.235
0,38,60.5319
0,39,67.6156
0,40,86.6817
0,41,93.8161
0,42,86.6656
0,43,170.928
0,44,120.291
0,45,185.245
0,46,59.336
0,47,79.4924
0,48,79.1491
0,49,67.1779
1,2,51.6596
1,3,71.4479
1,4,71.3783
1,5,106.755
1,6,91.784
1,7,59.4453
1,8,174.946
1,9,154.129
1,10,173.69
1,11,113.223
1,12,161.176
1,13,51.8024
1,14,36.1165
1,15,18.0097
1,16,33.6181
1,17,39
1,18,117.526
1,19,108.974
1,20,186.314
1,21,19.3318
1,22,162.786
1,23,92.7358
1,24,167.327
1,25,55.3422
1,26,93.2948
1,27,121.022
1,28,85.7717
1,29,38.9023
1,30,61.0608
1,31,131.549
1,32,147.211
1,33,99.9099
1,34,193.687
1,35,25.8414
1,36,27.5536
1,37,143.773
1,38,53.6831
1,39,31.6231
1,40,10.7576
1,41,91.5423
1,42,148.234
1,43,163.938
1,44,108.44
1,45,137.03
1,46,30.5532
1,47,29.6248
1,48,37.8899
1,49,23.1351
2,3,95.0218
2,4,123.006
2,5,154.774
2,6,136.204
2,7,111.08
2,8,226.031
2,9,179.23
2,10,224.511
2,11,159.754
2,12,199.418
2,13,75.8871
2,14,77.3276
2,15,69.5163
2,16,84.5856
2,17,13.509
2,18,133.888
2,19,151.288
2,20,233.798
2,21,39.3236
2,22,210.628
2,23,144.351
2,24,218.777
2,25,27.7638
2,26,139.965
2,27,170.562
2,28,122.315
2,29,72.245
2,30,111.956
2,31,154.151
2,32,171.203
2,33,142.032
2,34,243.734
2,35,41.5851
2,36,44.793
2,37,187.867
2,38,92.9516
2,39,73.1523
2,40,61.5164
2,41,137.113
2,42,176.219
2,43,213.555
2,44,157.241
2,45,188.06
2,46,52.8584
2,47,26.4657
2,48,85.4262
2,49,58.6964
3,4,94.493
3,5,144.33
3,6,140.557
3,7,86.8936
3,8,165.397
3,9,85.1695
3,10,161.709
3,11,85.8249
3,12,107.581
3,13,20.4752
3,14,101.119
3,15,73.3424
3,16,81.6503
3,17,90.247
3,18,46.3209
3,19,68.6638
3,20,155.535
3,21,63.4583
3,22,134.929
3,23,110.125
3,24,163.205
3,25,73.8844
3,26,70.7712
3,27,106.077
3,28,146.054
3,29,32.8901
3,30,96.8607
3,31,61.0653
3,32,77.5599
3,33,151.497
3,34,174.69
3,35,95.165
3,36,53.2617
3,37,104.623
3,38,31.3339
3,39,43.4958
3,40,65.7545
3,41,65.3828
3,42,81.3227
3,43,144.473
3,44,91.7734
3,45,155.32
3,46,45.492
3,47,71.5291
3,48,51.9891
3,49,48.396
4,5,50.3094
4,6,53.4072
4,7,11.9352
4,8,106.329
4,9,148.086
4,10,106.055
4,11,66.6963
4,12,128.494
4,13,86.9268
4,14,58.5656
4,15,53.5022
4,16,39.1949
4,17,110.091
4,18,132.964
4,19,77.0297
4,20,128.439
4,21,87.2791
4,22,105.251
4,23,21.3624
4,24,97.3174
4,25,123.228
4,26,52.6969
4,27,61.2718
4,28,71.9137
4,29,73.6439
4,30,16.118
4,31,134.165
4,32,144.288
4,33,65.1521
4,34,128.181
4,35,88.5744
4,36,89.2907
4,37,99.1256
4,38,63.288
4,39,62.8538
4,40,62.1405
4,41,55.8625
4,42,138.216
4,43,100.715
4,44,54.0642
4,45,67.0392
4,46,85.6611
4,47,99.8606
4,48,47.6123
4,49,73.8116
5,6,25.3421
5,7,57.6356
5,8,108.576
5,9,195.445
5,10,111.194
5,11,105.498
5,12,167.661
5,13,134.944
5,14,78.1308
5,15,89.7539
5,16,74.0872
5,17,141.265
5,18,183.206
5,19,121.359
5,20,147.833
5,21,125.512
5,22,127.807
5,23,42.5996
5,24,95.6965
5,25,162.027
5,26,97.3915
5,27,89.8276
5,28,53.605
5,29,120.588
5,30,49.1542
5,31,183.372
5,32,192.383
5,33,31.179
5,34,135.582
5,35,114.418
5,36,130.563
5,37,134.11
5,38,113.001
5,39,108.821
5,40,100.519
5,41,101.851
5,42,184.983
5,43,115.901
5,44,90.1046
5,45,44.936
5,46,128.918
5,47,136.302
5,48,94.8033
5,49,116.879
6,7,55.6501
6,8,132.24
6,9,201.325
6,10,134.39
6,11,117.573
6,12,180.171
6,13,128.044
6,14,58.9301
6,15,76.6167
6,16,62.3043
6,17,122.806
6,18,182.885
6,19,130.129
6,20,168.221
6,21,111.088
6,22,146.959
6,23,55.7724
6,24,119.757
6,25,146.763
6,26,105.705
6,27,105.954
6,28,28.4278
6,29,112.912
6,30,44.4149
6,31,186.432
6,32,197.287
6,33,11.7511
6,34,158.679
6,35,94.8612
6,36,117.798
6,37,148.541
6,38,109.742
6,39,100.729
6,40,87.6103
6,41,109.175
6,42,191.574
6,43,136.953
6,44,103.156
6,45,70.1226
6,46,117.624
6,47,120.478
6,48,88.783
