node,x,y
0,100.642,4.28213
1,33.0348,62.9255
2,4.47242,19.8801
3,98.4205,34.1243
4,69.7219,124.154
5,46.5689,168.819
6,25.7167,154.417
7,63.7685,113.809
8,153.008,190.254
9,183.454,29.3155
10,156.577,185.014
11,135.236,111.652
12,192.509,86.2866
13,78.2505,37.6465
14,18.3985,95.9434
15,40.6138,79.2628
16,43.7663,94.7848
17,8.18224,32.8697
18,137.999,10.0587
19,138.651,89.7682
20,193.919,156.888
21,35.7009,43.7784
22,172.484,146.909
23,80.253,142.74
24,139.39,192.103
25,29.4225,7.70128
26,117.644,102.235
27,129.951,135.407
28,0.0877678,142.117
29,69.9028,50.5102
30,54.0856,120.243
31,158.577,23.6311
32,175.563,26.0895
33,16.2804,161.42
34,180.76,188.193
35,7.24004,61.3729
36,45.3198,38.2622
37,168.118,112.152
38,86.7172,63.1905
39,64.626,61.507
40,42.3006,68.3909
41,118.223,96.4363
42,179.516,40.1967
43,162.356,163.681
44,123.755,122.332
45,86.7168,189.003
46,53.3198,40.0777
47,26.8917,33.9446
48,68.3864,76.5603
49,53.505,52.1458
